,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",scf7180000000008_quiver_1,phage integrase family,361,20,0,99.43,4,F:GO:0003677; P:GO:0006310; F:GO:0008907; P:GO:0015074,F:DNA binding; P:DNA recombination; F:integrase activity; P:DNA integration,,,G3DSA:3.30.160.60 (GENE3D); IPR013762 (G3DSA:1.10.443.GENE3D); IPR010998 (G3DSA:1.10.150.GENE3D); IPR015094 (PFAM); IPR002104 (PFAM); PTHR30349 (PANTHER); IPR011010 (SUPERFAMILY); IPR016177 (SUPERFAMILY),F:GO:0003677; P:GO:0006310; F:GO:0008907; P:GO:0015074,F:DNA binding; P:DNA recombination; F:integrase activity; P:DNA integration
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_2,excisionase,90,20,1.01E-57,98.17,2,F:GO:0003677; P:GO:0006310,F:DNA binding; P:DNA recombination,,,IPR038137 (G3DSA:1.10.1660.GENE3D); IPR012884 (PFAM); mobidb-lite (MOBIDB_LITE); IPR009061 (SUPERFAMILY),F:GO:0003677; P:GO:0006310,F:DNA binding; P:DNA recombination
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_3,Uncharacterised protein,55,2,8.34E-17,72.22,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_4,Uncharacterised,79,20,2.80E-52,99.56,,,,,,IPR025317 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_5,methyltransferase,165,20,3.48E-115,96.94,2,F:GO:0008168; P:GO:0032259,F:methyltransferase activity; P:methylation,,,G3DSA:3.40.50.150 (GENE3D); IPR029063 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_6,family transcriptional regulator,71,20,8.96E-42,97.66,1,F:GO:0008270,F:zinc ion binding,,,G3DSA:1.20.120.910 (GENE3D); IPR012783 (TIGRFAM); IPR000962 (PFAM); PTHR38777 (PANTHER); IPR000962 (PROSITE_PROFILES); SSF57716 (SUPERFAMILY),F:GO:0008270,F:zinc ion binding
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_7,Uncharacterised,114,20,8.77E-77,76.74,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_8,Uncharacterised,72,20,2.29E-44,96.46,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_9,adenine-specific DNA methyltransferase,219,20,8.60E-158,98.11,4,F:GO:0003676; P:GO:0006139; F:GO:0008168; P:GO:0032259,F:nucleic acid binding; P:nucleobase-containing compound metabolic process; F:methyltransferase activity; P:methylation,,,IPR007757 (PFAM); PTHR12829:SF4 (PANTHER); PTHR12829 (PANTHER); IPR007757 (PROSITE_PROFILES); IPR029063 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_10,Uncharacterised [,154,17,2.02E-102,93.93,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_11,DGQHR domain-containing,353,20,0,97.65,,,,,,IPR017642 (PFAM); IPR017601 (TIGRFAM); cd16414 (CDD),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_12,of uncharacterised function (DUF1317),50,20,6.14E-30,99.8,,,,,,IPR009750 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_13,Uncharacterised,236,20,1.69E-172,90.28,,,,,,mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_14,ATP-binding,221,20,6.93E-162,93.85,2,F:GO:0003677; F:GO:0005524,F:DNA binding; F:ATP binding,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_15,exodeoxyribonuclease X,218,20,1.95E-158,95.45,2,F:GO:0003676; F:GO:0016787,F:nucleic acid binding; F:hydrolase activity,,,IPR013520 (SMART); IPR036397 (G3DSA:3.30.420.GENE3D); IPR013520 (PFAM); PTHR30231 (PANTHER); PTHR30231:SF20 (PANTHER); cd06127 (CDD); IPR012337 (SUPERFAMILY),F:GO:0003676,F:nucleic acid binding
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_16,Uncharacterised,51,20,1.30E-27,83.65,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_17,Uncharacterised,131,20,8.12E-91,91.15,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_18,Uncharacterised,104,20,3.39E-71,92.74,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_19,cell division inhibitor,67,20,1.05E-41,93.46,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_20,Uncharacterised,54,20,1.60E-30,95.77,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_21,hypothetical protein,60,2,5.75E-26,73.5,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_22,family transcriptional repressor,250,20,0,99.1,1,F:GO:0043565,F:sequence-specific DNA binding,,,G3DSA:2.10.109.10 (GENE3D); G3DSA:1.10.260.40 (GENE3D); IPR015927 (PFAM); PTHR33516:SF7 (PANTHER); PTHR33516 (PANTHER); IPR001387 (CDD); IPR039418 (CDD); IPR010982 (SUPERFAMILY); IPR036286 (SUPERFAMILY),F:GO:0003677; F:GO:0043565,F:DNA binding; F:sequence-specific DNA binding
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_23,antirepressor,77,20,2.10E-49,91.23,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_24,regulatory CII,180,20,1.96E-128,98.61,,,,,,IPR009364 (PFAM); IPR037042 (G3DSA:1.10.3600.GENE3D); mobidb-lite (MOBIDB_LITE),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, ANNOTATED]",scf7180000000008_quiver_25,phage replication O domain,299,20,0,97.39,1,P:GO:0006260,P:DNA replication,,,IPR006497 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR006497 (TIGRFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE),P:GO:0006260,P:DNA replication
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_26,phage replication P,229,20,1.14E-169,99.56,1,P:GO:0006270,P:DNA replication initiation,,,IPR009731 (PFAM),P:GO:0006270,P:DNA replication initiation
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_27,ren,99,20,4.57E-65,96.87,,,,,,IPR036388 (G3DSA:1.10.10.GENE3D); IPR036390 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, NO-BLAST]",scf7180000000008_quiver_28,---NA---,34,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, NO-BLAST]",scf7180000000008_quiver_29,---NA---,105,,,,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_30,choline kinase N terminus family (plasmid),328,20,2.74E-162,81.17,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED]",scf7180000000008_quiver_31,prophage,211,20,8.72E-138,87.62,2,C:GO:0016020; C:GO:0016021,C:membrane; C:integral component of membrane,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_32,MULTISPECIES: hypothetical protein,125,20,1.39E-62,100,,,,,,PD033929 (PRODOM); IPR036619 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_33,hypothetical protein,67,20,8.76E-38,93.55,,,,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_34,DUF2158 domain-containing,60,20,1.81E-36,84.72,,,,,,IPR019226 (PFAM),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_35,terminase small subunit,171,20,3.68E-122,99.68,1,P:GO:0006323,P:DNA packaging,,,IPR038713 (G3DSA:1.10.10.GENE3D); IPR005335 (PFAM); PTHR41328 (PANTHER),P:GO:0006323,P:DNA packaging
