State,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_1,amino acid permease,174,20,1.75E-107,96.49,3,P:GO:0003333; F:GO:0015171; C:GO:0016021,P:amino acid transmembrane transport; F:amino acid transmembrane transporter activity; C:integral component of membrane,,,IPR002293 (PFAM); G3DSA:1.20.1740.10 (GENE3D); PTHR11785 (PANTHER); PTHR11785:SF216 (PANTHER),C:GO:0016020; F:GO:0022857; P:GO:0055085,C:membrane; F:transmembrane transporter activity; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_2,amino acid permease,100,20,3.57E-66,99.95,3,P:GO:0003333; F:GO:0015171; C:GO:0016021,P:amino acid transmembrane transport; F:amino acid transmembrane transporter activity; C:integral component of membrane,,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_3,beta-galactosidase subunit alpha,52,20,1.32E-28,99.9,4,F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding,EC:3.2.1.23,Beta-galactosidase,IPR008979 (G3DSA:2.60.120.GENE3D),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_4,Beta galactosidase small chain,135,20,4.23E-90,100,4,F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding,EC:3.2.1.23,Beta-galactosidase,IPR008979 (G3DSA:2.60.120.GENE3D); IPR006104 (PFAM); PTHR10066:SF72 (PANTHER); PTHR10066 (PANTHER); IPR008979 (SUPERFAMILY),F:GO:0004553; P:GO:0005975,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_5,beta-galactosidase subunit alpha,119,20,8.56E-64,97.45,4,F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding,EC:3.2.1.23,Beta-galactosidase,IPR006102 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); PTHR10066 (PANTHER); IPR036156 (SUPERFAMILY),F:GO:0004553; P:GO:0005975,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_6,beta-galactosidase subunit alpha,97,20,3.61E-46,84.54,4,F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding,EC:3.2.1.23,Beta-galactosidase,G3DSA:3.20.20.80 (GENE3D); IPR006103 (PFAM); PTHR10066 (PANTHER); PTHR10066:SF75 (PANTHER); IPR017853 (SUPERFAMILY),F:GO:0004553; P:GO:0005975,"F:hydrolase activity, hydrolyzing O-glycosyl compounds; P:carbohydrate metabolic process"
TRUE,"[INTERPRO, BLASTED, MAPPED]",scf7180000000004_quiver_7,beta-galactosidase subunit alpha,34,1,4.45E-05,73.68,9,F:GO:0003824; F:GO:0004553; F:GO:0004565; P:GO:0005975; P:GO:0008152; C:GO:0009341; F:GO:0016787; F:GO:0016798; F:GO:0030246,"F:catalytic activity; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:beta-galactosidase activity; P:carbohydrate metabolic process; P:metabolic process; C:beta-galactosidase complex; F:hydrolase activity; F:hydrolase activity, acting on glycosyl bonds; F:carbohydrate binding",,,no IPS match,no IPS match,no IPS match
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_8,beta-galactosidase subunit alpha,125,20,7.43E-76,99.17,4,F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding,EC:3.2.1.23,Beta-galactosidase,IPR004199 (PFAM); IPR014718 (G3DSA:2.70.98.GENE3D); IPR011013 (SUPERFAMILY),F:GO:0003824; F:GO:0004565; P:GO:0005975; C:GO:0009341; F:GO:0030246,F:catalytic activity; F:beta-galactosidase activity; P:carbohydrate metabolic process; C:beta-galactosidase complex; F:carbohydrate binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_9,general stress,66,20,8.31E-36,96.23,1,C:GO:0016021,C:integral component of membrane,,,IPR007341 (PFAM),C:GO:0016021,C:integral component of membrane
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000004_quiver_10,23S rRNA (uracil-5-)-methyltransferase,456,20,0,99.9,6,P:GO:0001510; F:GO:0003723; P:GO:0006396; F:GO:0030697; F:GO:0046872; F:GO:0051539,"P:RNA methylation; F:RNA binding; P:RNA processing; F:S-adenosylmethionine-dependent tRNA (m5U54) methyltransferase activity; F:metal ion binding; F:4 iron, 4 sulfur cluster binding",EC:2.1.1.35,tRNA (uracil(54)-C(5))-methyltransferase,IPR002792 (PFAM); G3DSA:3.40.50.150 (GENE3D); TIGR00479 (TIGRFAM); G3DSA:3.40.1350.30 (GENE3D); IPR010280 (PFAM); G3DSA:2.40.50.140 (GENE3D); IPR010280 (PANTHER); PTHR11061:SF45 (PANTHER); IPR002792 (PROSITE_PROFILES); IPR010280 (PROSITE_PROFILES); cd02440 (CDD); IPR012340 (SUPERFAMILY); IPR029063 (SUPERFAMILY),P:GO:0006396; F:GO:0008173,P:RNA processing; F:RNA methyltransferase activity
