SeqName,length,bit-score,eValue,hitName,GOs,ACC
scf7180000000004_quiver_1,174,318.546,2.82E-106,gi|310634207|gb|EFQ17490.1|amino acid permease family protein [Enterococcus faecalis EnGen0311],"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_1,174,319.316,3.52E-105,gi|488288256|ref|WP_002359464.1|MULTISPECIES: amino acid permease [Bacilli] ,"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_2,100,207.608,5.00E-64,gi|310634207|gb|EFQ17490.1|amino acid permease family protein [Enterococcus faecalis EnGen0311],"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_2,100,207.994,4.45E-63,gi|488340171|ref|WP_002409556.1|amino acid permease [Enterococcus faecalis] ,"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_2,100,207.608,5.39E-63,gi|488312037|ref|WP_002381422.1|amino acid permease [Enterococcus faecalis] ,"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_2,100,207.608,5.45E-63,gi|514886816|ref|WP_016616638.1|amino acid permease [Enterococcus faecalis] ,"GO:0016020, GO:0016021, GO:0015171, GO:0003333",
scf7180000000004_quiver_3,52,113.235,6.46E-28,gi|642980817|ref|WP_025193880.1|MULTISPECIES: beta-galactosidase subunit alpha [Bacilli] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0004553, GO:0030246, GO:0016798, GO:0016787, GO:0005975",
scf7180000000004_quiver_3,52,113.235,6.46E-28,gi|498527086|ref|WP_010826650.1|beta-galactosidase subunit alpha [Enterococcus faecalis] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0016787, GO:0016798, GO:0005975",
scf7180000000004_quiver_4,135,281.182,1.64E-86,gi|255967755|gb|EET98377.1|cryptic beta-D-galactosidase subunit alpha [Enterococcus faecalis T2],"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0004553, GO:0030246, GO:0016798, GO:0005975, GO:0016787",
scf7180000000004_quiver_4,135,281.567,1.76E-86,gi|227176645|gb|EEI57617.1|Beta galactosidase small chain [Enterococcus faecalis EnGen0297] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0005975, GO:0016787, GO:0016798",
scf7180000000004_quiver_4,135,281.567,1.83E-86,gi|315162124|gb|EFU06141.1|Beta galactosidase small chain [Enterococcus faecalis TX0645],"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0005975, GO:0016787, GO:0016798",
scf7180000000004_quiver_4,135,281.567,1.91E-86,gi|514561985|gb|EPI25573.1|Beta galactosidase small chain [Enterococcus faecium SB2C-2] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0016798, GO:0016787, GO:0005975",
scf7180000000004_quiver_4,135,281.567,1.95E-86,gi|315025520|gb|EFT37452.1|Beta galactosidase small chain [Enterococcus faecalis TX2137] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0004553, GO:0030246, GO:0016798, GO:0005975, GO:0016787",
scf7180000000004_quiver_5,119,213.772,4.50E-62,gi|642980817|ref|WP_025193880.1|MULTISPECIES: beta-galactosidase subunit alpha [Bacilli] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0004553, GO:0030246, GO:0016798, GO:0016787, GO:0005975",
scf7180000000004_quiver_6,97,167.933,3.98E-46,gi|255967755|gb|EET98377.1|cryptic beta-D-galactosidase subunit alpha [Enterococcus faecalis T2],"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0004553, GO:0030246, GO:0016798, GO:0005975, GO:0016787",
scf7180000000004_quiver_7,34,47.3654,4.45E-05,gi|491688986|ref|WP_005545062.1|beta-galactosidase subunit alpha [Paenibacillus alvei] ,"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0016798, GO:0016787, GO:0005975",
scf7180000000004_quiver_8,125,252.292,8.80E-76,gi|514519905|gb|EPH85247.1|Beta galactosidase small chain [Enterococcus faecalis 02-MB-BW-10],"GO:0008152, GO:0003824, GO:0009341, GO:0004565, GO:0030246, GO:0004553, GO:0005975, GO:0016787, GO:0016798",
scf7180000000004_quiver_9,66,125.561,8.40E-36,gi|306498705|gb|EFM68206.1|transglycosylase associated protein [Enterococcus faecalis TX0411] ,"GO:0016020, GO:0016021",
scf7180000000004_quiver_9,66,125.561,8.97E-36,gi|227073114|gb|EEI11077.1|transglycosylase associated protein [Enterococcus faecalis TX0104] ,"GO:0016020, GO:0016021",
scf7180000000004_quiver_9,66,125.176,1.07E-35,gi|227176644|gb|EEI57616.1|transglycosylase associated protein [Enterococcus faecalis EnGen0297] ,"GO:0016020, GO:0016021",
