SeqName,length,bit-score,eValue,hitName,GOs,ACC
scf7180000000008_quiver_2,90,181.03,1.01E-57,gi|556358098|ref|WP_023300430.1|MULTISPECIES: hypothetical protein [Enterobacteriaceae] ,"GO:0003677, GO:0006310",
scf7180000000008_quiver_5,165,329.331,5.01E-114,gi|772676154|ref|WP_045286666.1|class I SAM-dependent methyltransferase [Enterobacter cloacae complex sp. 35699] ,"GO:0008168, GO:0016740, GO:0032259",
scf7180000000008_quiver_6,71,138.272,2.55E-41,gi|757781799|ref|WP_043000383.1|TraR/DksA family transcriptional regulator [Citrobacter sp. MGH 55] ,GO:0008270,
scf7180000000008_quiver_9,219,442.965,3.00E-157,gi|798940763|ref|WP_045908950.1|DNA methyltransferase [Enterobacter cloacae complex sp. CIDEIMsCOL1],"GO:0016740, GO:0008168, GO:0006139, GO:0032259, GO:0003676",
scf7180000000008_quiver_9,219,439.884,5.38E-156,gi|556411236|ref|WP_023306024.1|adenine-specific DNA methyltransferase [Enterobacter cloacae complex 'Hoffmann cluster III'] ,"GO:0016740, GO:0008168, GO:0006139, GO:0032259, GO:0003676",
scf7180000000008_quiver_14,221,450.669,3.76E-160,gi|772624649|ref|WP_045269892.1|MULTISPECIES: hypothetical protein [Enterobacter cloacae complex] ,GO:0005524,
scf7180000000008_quiver_14,221,315.079,1.75E-106,gi|740318234|ref|WP_038155427.1|ATP-binding protein [Trabulsiella guamensis] ,GO:0003677,
scf7180000000008_quiver_15,218,444.506,8.31E-158,gi|695718737|ref|WP_032646367.1|MULTISPECIES: exodeoxyribonuclease X [Enterobacter] ,"GO:0016787, GO:0003676",
scf7180000000008_quiver_15,218,444.506,8.78E-158,gi|695673731|ref|WP_032629046.1|MULTISPECIES: exodeoxyribonuclease X [Enterobacter cloacae complex] ,GO:0003676,
scf7180000000008_quiver_15,218,416.001,1.70E-146,gi|503836839|ref|WP_014070833.1|MULTISPECIES: exodeoxyribonuclease X [Enterobacter] ,GO:0003676,
scf7180000000008_quiver_15,218,414.461,6.24E-146,gi|695835024|ref|WP_032748402.1|MULTISPECIES: exodeoxyribonuclease X [Klebsiella] ,GO:0003676,
scf7180000000008_quiver_15,218,414.461,7.52E-146,gi|836565929|ref|WP_047724182.1|MULTISPECIES: exodeoxyribonuclease X [Klebsiella] ,GO:0003676,
scf7180000000008_quiver_22,250,513.842,0,gi|487662930|ref|WP_001752700.1|LexA family transcriptional repressor [Escherichia coli] ,GO:0003677,
scf7180000000008_quiver_26,229,474.167,2.83E-169,gi|823309716|ref|WP_047064364.1|phage replication protein P [Enterobacter asburiae] ,GO:0006270,
scf7180000000008_quiver_26,229,474.167,3.72E-169,gi|487662925|ref|WP_001752695.1|replication P family protein [Escherichia coli] ,GO:0006270,
scf7180000000008_quiver_31,211,216.083,9.94E-68,gi|446800501|ref|WP_000877757.1|hypothetical protein [Salmonella enterica] ,"GO:0016020, GO:0016021",
scf7180000000008_quiver_35,171,350.517,3.68E-122,gi|765445713|ref|WP_044704358.1|MULTISPECIES: terminase small subunit [Enterobacter] ,GO:0006323,
scf7180000000008_quiver_35,171,348.591,1.71E-121,gi|487662903|ref|WP_001752675.1|terminase small subunit [Escherichia coli] ,GO:0006323,
scf7180000000008_quiver_42,667,157.918,5.11E-37,gi|487662873|ref|WP_001752645.1|endo-N-acetylneuraminidase [Escherichia coli] ,"GO:0008152, GO:0016996, GO:0016798, GO:0016787",
scf7180000000008_quiver_43,407,125.176,1.35E-27,gi|740860662|ref|WP_038645914.1|hypothetical protein [Mesorhizobium huakuii] ,GO:0016787,
scf7180000000008_quiver_43,407,90.5077,7.53E-16,gi|1040871025|ref|WP_065141602.1|MULTISPECIES: SGNH/GDSL hydrolase family protein [Mesorhizobium] ,GO:0016787,
scf7180000000008_quiver_44,340,305.064,3.19E-99,gi|928962636|ref|WP_053987189.1|acyltransferase [Photobacterium leiognathi] ,"GO:0016747, GO:0016020, GO:0016021",
scf7180000000008_quiver_44,340,303.138,2.31E-98,gi|565849512|ref|WP_023932217.1|acyltransferase [Photobacterium leiognathi] ,"GO:0016747, GO:0016020, GO:0016021, GO:0016740",
scf7180000000008_quiver_44,340,303.138,2.39E-98,gi|496277724|ref|WP_008989762.1|acyltransferase [Photobacterium leiognathi] ,"GO:0016746, GO:0016747, GO:0016020, GO:0016021, GO:0016740",
scf7180000000008_quiver_44,340,293.893,7.57E-95,gi|501547783|ref|WP_012552338.1|acyltransferase [Aliivibrio salmonicida] ,"GO:0016746, GO:0016747, GO:0016020, GO:0016021, GO:0016740",
scf7180000000008_quiver_44,340,270.011,7.13E-86,gi|767115747|gb|KJG34983.1|acetylase [Photobacterium angustum],"GO:0016747, GO:0016020, GO:0016021",
